coleccion,n_archivos,archivos
leads,120,backend/accuracy_engine.py;backend/agentic_crm/argumentario_engine.py;backend/agentic_crm/disc_inferencer_engine.py;backend/agentic_crm/match_weights_engine.py;backend/agentic_crm/observability_engine.py;backend/agentic_crm/reply_classifier_engine.py;backend/agentic_crm/smart_routing_engine.py;backend/agentic_crm/visit_prep_engine.py
users,112,backend/agent_workforce/agent_common.py;backend/agent_workforce/orchestrator.py;backend/agent_workforce/prospector.py;backend/agentic_crm/reply_classifier_engine.py;backend/agentic_crm/smart_routing_engine.py;backend/agentic_crm/visit_prep_engine.py;backend/ai_quota_engine.py;backend/ai_suggestions.py
developments,67,backend/agentic_crm/visit_prep_engine.py;backend/asistente_engine.py;backend/bulk_ingest_engine.py;backend/buyer_coach_engine.py;backend/construction_quality_cron.py;backend/construction_quality_engine.py;backend/dev_memory_engine.py;backend/director_agent_engine.py
colonias,39,backend/avm_predios_engine.py;backend/catastro_sig_engine.py;backend/colonia_data_polish.py;backend/colonia_valoracion_engine.py;backend/colonias_catalog.py;backend/comercial_value_model.py;backend/crime_fgj_engine.py;backend/demand_intelligence.py
asesor_contactos,34,backend/agent_workforce/closer.py;backend/agent_workforce/nurturer.py;backend/agent_workforce/prospector.py;backend/auto_pilot_engine.py;backend/briefing_engine.py;backend/close_probability.py;backend/close_probability_tuning.py;backend/conversation_engine.py
ie_scores,32,backend/asistente_engine.py;backend/auto_sync_engine.py;backend/composite_metrics.py;backend/diagnostic_engine.py;backend/director_agent_engine.py;backend/granularity_backfill.py;backend/granularity_registry.py;backend/mcp_tools.py
appointments,31,backend/agentic_crm/disc_inferencer_engine.py;backend/agentic_crm/visit_prep_engine.py;backend/ai_suggestions.py;backend/asesor_digest_engine.py;backend/availability.py;backend/buyer_score_engine.py;backend/health_score.py;backend/routes/advisor.py
audit_log,28,backend/anomaly_detection_engine.py;backend/atlax_persona_engine.py;backend/audit_log.py;backend/health_score.py;backend/lead_journey_engine.py;backend/probes/engagement.py;backend/probes/performance.py;backend/routes/atlax_persona.py
buyer_signals,27,backend/compare_engine.py;backend/cube_olap_engine.py;backend/demand_intelligence.py;backend/engines_batch_demanda.py;backend/entity_atlas.py;backend/explorador.py;backend/facet_engine.py;backend/grafo_comprador_engine.py
projects,25,backend/agentic_crm/visit_prep_engine.py;backend/project_wizard_engine.py;backend/projects_unified.py;backend/routes/asesor_playbook.py;backend/routes/dev_batch10.py;backend/routes/dev_batch14.py;backend/routes/dev_batch2.py;backend/routes/dev_batch4_1.py
cube_aggregations,23,backend/anomaly_detection_engine.py;backend/anonymization_engine.py;backend/construction_cost_engine.py;backend/cube_olap_engine.py;backend/data_lake_etl.py;backend/drpi_engine.py;backend/intelligence_insights_engine.py;backend/investment_simulator_engine.py
marketplace_searches,23,backend/demand_intelligence.py;backend/demand_twin_engine.py;backend/explorador.py;backend/facet_engine.py;backend/google_places_ingest.py;backend/grafo_comprador_engine.py;backend/grid_engine.py;backend/marketplace_granularity.py
units,22,backend/agentic_crm/visit_prep_engine.py;backend/ai_suggestions.py;backend/asistente_engine.py;backend/bulk_ingest_engine.py;backend/cube_olap_engine.py;backend/director_agent_engine.py;backend/probes/cross_portal.py;backend/projects_unified.py
behavioral_events,21,backend/ab_testing_engine.py;backend/agentic_crm/disc_inferencer_engine.py;backend/agentic_crm/visit_prep_engine.py;backend/asistente_engine.py;backend/battle_card_engine.py;backend/behavioral_tracking_engine.py;backend/buyer_score_engine.py;backend/churn_prediction_engine.py
drpi_snapshots,18,backend/bulletins_engine.py;backend/cma_engine.py;backend/demand_intelligence.py;backend/drpi_engine.py;backend/forecast_engine.py;backend/forecast_retrain_cron.py;backend/live_pulse_engine.py;backend/routes/bulletins.py
inmobiliarias,18,backend/probes/cross_portal.py;backend/routes/dev_batch4_1.py;backend/routes/inmobiliaria.py;backend/routes/superadmin_tenants.py;backend/server.py;backend/services/directory_aggregator.py;backend/services/inmobiliaria_signup.py;backend/services/internal_users.py
transactions,17,backend/anonymization_engine.py;backend/cerebro/coach.py;backend/cerebro/executors.py;backend/data_doctrine.py;backend/drpi_engine.py;backend/fraud_detection_engine.py;backend/grid_engine.py;backend/hedonic_regression_engine.py
notifications,15,backend/demand_intelligence.py;backend/notifications_engine.py;backend/probes/notifications.py;backend/routes/b13.py;backend/routes/dev_batch14.py;backend/routes/dev_batch2.py;backend/routes/dev_batch4.py;backend/routes/dev_batch4_1.py
inmobiliaria_internal_users,15,backend/lead_journey_engine.py;backend/routes/dev_batch4_1.py;backend/routes/inmobiliaria.py;backend/server.py;backend/services/directory_aggregator.py;backend/services/inmobiliaria_relationships.py;backend/services/inmobiliaria_signup.py;backend/services/internal_users.py
health_scores,13,backend/ai_suggestions.py;backend/health_score.py;backend/probes/health_score.py;backend/routes/dev_batch14.py;backend/routes/insights.py;backend/routes/team_aggregated.py;backend/services/asesor_metrics.py;backend/services/client_insights.py
buyer_scores,12,backend/agent_workforce/agent_common.py;backend/agent_workforce/prospector.py;backend/asistente_engine.py;backend/buyer_score_engine.py;backend/close_probability.py;backend/conversation_engine.py;backend/fit_engine.py;backend/routes/advisor.py
hedonic_models,12,backend/avm_explain_engine.py;backend/avm_public_engine.py;backend/avm_retrain_cron.py;backend/free_audit_engine.py;backend/fsd_engine.py;backend/hedonic_regression_engine.py;backend/investment_simulator_engine.py;backend/routes/avm_accuracy.py
activity_log,11,backend/agentic_crm/disc_inferencer_engine.py;backend/agentic_crm/match_weights_engine.py;backend/agentic_crm/observability_engine.py;backend/agentic_crm/reply_classifier_engine.py;backend/agentic_crm/smart_routing_engine.py;backend/agentic_crm/visit_prep_engine.py;backend/asistente_engine.py;backend/auto_nurture_cron.py
lead_captures,11,backend/asistente_engine.py;backend/climate_migration_engine.py;backend/fit_engine.py;backend/mood_engine.py;backend/predictive_alerts_cron.py;backend/predictive_alerts_engine.py;backend/routes/fit.py;backend/routes/predictive_alerts.py
system_alerts,11,backend/bulletins_engine.py;backend/compliance_engine.py;backend/crime_data_engine.py;backend/data_lake_etl.py;backend/drpi_engine.py;backend/fraud_detection_engine.py;backend/natural_risk_engine.py;backend/risk_score_engine.py
asesor_busquedas,10,backend/amenidades_engine.py;backend/auto_pilot_engine.py;backend/briefing_engine.py;backend/close_probability.py;backend/grafo_comprador_engine.py;backend/health_score.py;backend/pipeline_drift_personal.py;backend/routes/advisor.py
asesor_profiles,10,backend/asesor_digest_engine.py;backend/granularity_backfill.py;backend/house_pool_engine.py;backend/routes/advisor.py;backend/routes/studio_landing.py;backend/studio_landing_engine.py;scripts/qa_journey_full.py;scripts/qa_sim.py
denue_zone_density,10,backend/atlax_blocks.py;backend/colonias_catalog.py;backend/google_places_ingest.py;backend/hedonic_regression_engine.py;backend/osm_engine.py;backend/perfil_zona_engine.py;backend/routes/public.py;backend/score_engine.py
zone_scores,10,backend/avm_public_engine.py;backend/brochure_engine.py;backend/maps_engine.py;backend/routes/investment_explorer.py;backend/routes/public_api_v1.py;backend/state_of_cdmx_engine.py;backend/studio_auto_content_cron.py;backend/vertical_products_engine.py
developer_unit_overrides,10,backend/routes/advisor.py;backend/routes/dev_batch1.py;backend/routes/dev_batch10.py;backend/routes/dev_batch11.py;backend/routes/dev_price_history.py;backend/routes/dev_sales_intel.py;backend/routes/developer.py;backend/routes/public.py
di_documents,9,backend/auto_sync_engine.py;backend/cross_check_engine.py;backend/dev_assets.py;backend/extraction_engine.py;backend/rag_engine.py;backend/routes/dev_project_full.py;backend/routes/documents.py;backend/routes/public.py
asesor_operaciones,9,backend/coaching_analysis.py;backend/health_score.py;backend/house_pool_engine.py;backend/routes/advisor.py;scripts/qa_destructive.py;scripts/qa_redteam.py;scripts/qa_sim.py;scripts/qa_sim2.py
conversation_threads,9,backend/conversation_confidence_score.py;backend/conversation_cost_stats_engine.py;backend/conversation_drift_detector.py;backend/conversation_engine.py;backend/conversation_kb_gaps_engine.py;backend/conversation_self_tuning.py;backend/routes/conversation_confidence.py;backend/tests/test_conversation_cost.py
conversation_messages,9,backend/conversation_cost_stats_engine.py;backend/conversation_drift_detector.py;backend/conversation_engine.py;backend/conversation_kb_gaps_engine.py;backend/routes/conversation_confidence.py;backend/tests/test_conversation_cost.py;scripts/qa_journey.py;scripts/qa_journey_full.py
dev_assets,9,backend/dev_assets.py;backend/probes/marketplace.py;backend/routes/dev_batch1.py;backend/routes/dev_batch10.py;backend/routes/dev_batch16.py;backend/routes/dev_project_full.py;backend/routes/documents.py;backend/routes/superadmin_catalog_pulse.py
