ruta,metodo,archivo,linea,depends,usa_request,auth,tenant_check,rate_limit,roles,caller_frontend,auditado
/api/avm/fsd/{property_id},GET,backend/routes/accuracy.py,64,,sí,,,,,,
/api/accuracy/meta-dashboard,GET,backend/routes/accuracy.py,91,,sí,,,,,,
/api/accuracy/per-zone,GET,backend/routes/accuracy.py,131,,sí,,,,,,
/api/accuracy/calibration-curve,GET,backend/routes/accuracy.py,167,,sí,,,,,,
/api/superadmin/accuracy/debug,GET,backend/routes/accuracy.py,179,,sí,,,,,,
/api/superadmin/accuracy/zone-weights,GET,backend/routes/accuracy.py,205,,sí,,,,,,
/api/superadmin/accuracy/trigger-drift-check,POST,backend/routes/accuracy.py,227,,sí,,,,,,
/api/accuracy/export.csv,GET,backend/routes/accuracy.py,254,,sí,,,,,,
/api/accuracy/export.pdf,GET,backend/routes/accuracy.py,297,,sí,,,,,,
/api/asesor/senales-calientes,GET,backend/routes/advisor.py,240,,sí,,,,,,
/api/asesor/profile,GET,backend/routes/advisor.py,257,,sí,,,,,,
/api/asesor/profile,PATCH,backend/routes/advisor.py,293,,sí,,,,,,
/api/asesor/dashboard,GET,backend/routes/advisor.py,620,,sí,,,,,,
/api/asesor/command-center/action/{action_id}/complete,POST,backend/routes/advisor.py,732,,sí,,,,,,
/api/asesor/command-center/action/{action_id}/dismiss,POST,backend/routes/advisor.py,737,,sí,,,,,,
/api/asesor/command-center/action/{action_id}/archive,POST,backend/routes/advisor.py,742,,sí,,,,,,
/api/asesor/command-center/action/{action_id}/restore,POST,backend/routes/advisor.py,748,,sí,,,,,,
/api/asesor/command-center/archived,GET,backend/routes/advisor.py,754,,sí,,,,,,
/api/asesor/contactos,GET,backend/routes/advisor.py,766,,sí,,,,,,
/api/asesor/contactos,POST,backend/routes/advisor.py,823,,sí,,,,,,
/api/asesor/contactos/{cid},GET,backend/routes/advisor.py,875,,sí,,,,,,
/api/asesor/contactos/{cid}/recomendacion,GET,backend/routes/advisor.py,887,,sí,,,,,,
/api/asesor/contactos/{cid}/close-probability,GET,backend/routes/advisor.py,906,,sí,,,,,,
/api/asesor/contactos/{cid}/memo-inversionista,GET,backend/routes/advisor.py,922,,sí,,,,,,
/api/asesor/contactos/{cid}/overview,GET,backend/routes/advisor.py,985,,sí,,,,,,
/api/asesor/lead/{lead_id}/buyer-score,GET,backend/routes/advisor.py,1201,,sí,,,,,,
/api/asesor/contactos/{cid}/intel,GET,backend/routes/advisor.py,1223,,sí,,,,,,
/api/asesor/contactos/{cid},PATCH,backend/routes/advisor.py,1356,,sí,,,,,,
/api/asesor/contactos/{cid},DELETE,backend/routes/advisor.py,1430,,sí,,,,,,
/api/asesor/contactos/{cid}/timeline,POST,backend/routes/advisor.py,1445,,sí,,,,,,
/api/asesor/contactos/{cid}/board,GET,backend/routes/advisor.py,1469,,sí,,,,,,
/api/asesor/contactos/{cid}/board,POST,backend/routes/advisor.py,1556,,sí,,,,,,
/api/asesor/board/{item_id},PATCH,backend/routes/advisor.py,1603,,sí,,,,,,
/api/asesor/board/{item_id},DELETE,backend/routes/advisor.py,1622,,sí,,,,,,
/api/asesor/contactos/{cid}/suggestions,GET,backend/routes/advisor.py,1633,,sí,,,,,,
/api/asesor/intel/prospects,GET,backend/routes/advisor.py,1695,,sí,,,,,,
/api/asesor/contactos/{cid}/whatsapp,GET,backend/routes/advisor.py,1746,,sí,,,,,,
/api/asesor/contactos/{cid}/whatsapp,POST,backend/routes/advisor.py,1767,,sí,,,,,,
/api/asesor/contactos/{cid}/whatsapp/draft,POST,backend/routes/advisor.py,1828,,sí,,,,,,
/api/asesor/contactos/{cid}/whatsapp/inbound,POST,backend/routes/advisor.py,1888,,sí,,,,,,
/api/asesor/conversations/unified,GET,backend/routes/advisor.py,1981,,sí,,,,,,
/api/asesor/atlax-settings,GET,backend/routes/advisor.py,2083,,sí,,,,,,
/api/asesor/atlax-settings,POST,backend/routes/advisor.py,2092,,sí,,,,,,
/api/asesor/channels,GET,backend/routes/advisor.py,2113,,sí,,,,,,
/api/asesor/channels/{key}/connect-request,POST,backend/routes/advisor.py,2141,,sí,,,,,,
/api/asesor/contactos/{cid}/conversation-ai,GET,backend/routes/advisor.py,2216,,sí,,,,,,
/api/asesor/contactos/{cid}/copilot-ask,POST,backend/routes/advisor.py,2318,,sí,,,,,,
/api/asesor/copilot/feedback,POST,backend/routes/advisor.py,2397,,sí,,,,,,
/api/asesor/copilot/metrics,GET,backend/routes/advisor.py,2412,,sí,,,,,,
/api/asesor/superadmin/copilot/overview,GET,backend/routes/advisor.py,2427,,sí,,,,,,
/api/asesor/contactos/{cid}/ai-suggest,GET,backend/routes/advisor.py,2449,,sí,,,,,,
/api/asesor/contactos/{cid}/cita,POST,backend/routes/advisor.py,2515,,sí,,,,,,
/api/asesor/contactos/{cid}/context,GET,backend/routes/advisor.py,2534,,sí,,,,,,
/api/asesor/contactos/{cid}/swipe-link,POST,backend/routes/advisor.py,2628,,sí,,,,,,
/api/asesor/busquedas,GET,backend/routes/advisor.py,2672,,sí,,,,,,
/api/asesor/busquedas,POST,backend/routes/advisor.py,2680,,sí,,,,,,
/api/asesor/busquedas/{bid}/stage,PATCH,backend/routes/advisor.py,2701,,sí,,,,,,
/api/asesor/busquedas/{bid}/visit,POST,backend/routes/advisor.py,2719,,sí,,,,,,
/api/asesor/busquedas/{bid}/offer,POST,backend/routes/advisor.py,2728,,sí,,,,,,
/api/asesor/busquedas/{bid}/matches,GET,backend/routes/advisor.py,2737,,sí,,,,,,
/api/asesor/busquedas/{bid},PATCH,backend/routes/advisor.py,2815,,sí,,,,,,
/api/asesor/busquedas/{bid}/op-prefill,GET,backend/routes/advisor.py,2901,,sí,,,,,,
/api/asesor/captaciones,GET,backend/routes/advisor.py,2936,,sí,,,,,,
/api/asesor/amenities-catalog,GET,backend/routes/advisor.py,2944,,sí,,,,,,
/api/asesor/captacion-estimate,GET,backend/routes/advisor.py,2953,,sí,,,,,,
/api/asesor/captaciones,POST,backend/routes/advisor.py,2992,,sí,,,,,,
/api/asesor/captaciones/{cid}/stage,PATCH,backend/routes/advisor.py,3013,,sí,,,,,,
/api/asesor/captaciones/{cid}/vender,POST,backend/routes/advisor.py,3030,,sí,,,,,,
/api/asesor/captaciones/{cid},GET,backend/routes/advisor.py,3068,,sí,,,,,,
/api/asesor/tareas,GET,backend/routes/advisor.py,3078,,sí,,,,,,
/api/asesor/tareas,POST,backend/routes/advisor.py,3095,,sí,,,,,,
/api/asesor/tareas/{tid}/done,PATCH,backend/routes/advisor.py,3112,,sí,,,,,,
/api/asesor/tareas/{tid},DELETE,backend/routes/advisor.py,3123,,sí,,,,,,
/api/asesor/operaciones,GET,backend/routes/advisor.py,3140,,sí,,,,,,
/api/asesor/operaciones,POST,backend/routes/advisor.py,3150,,sí,,,,,,
/api/asesor/operaciones/{oid}/status,PATCH,backend/routes/advisor.py,3226,,sí,,,,,,
/api/asesor/operaciones/{oid},GET,backend/routes/advisor.py,3416,,sí,,,,,,
/api/asesor/comisiones,GET,backend/routes/advisor.py,3426,,sí,,,,,,
/api/asesor/argumentario,POST,backend/routes/advisor.py,3454,,sí,,,,,,
/api/asesor/argumentario-rag,POST,backend/routes/advisor.py,3553,,sí,,,,,,
/api/asesor/briefing/daily,POST,backend/routes/advisor.py,3735,,sí,,,,,,
/api/asesor/briefing/voice,POST,backend/routes/advisor.py,3790,,sí,,,,,,
/api/asesor/digest/preview,GET,backend/routes/advisor.py,3818,,sí,,,,,,
/api/asesor/digest/send-now,POST,backend/routes/advisor.py,3829,,sí,,,,,,
/api/asesor/digest/prefs,GET,backend/routes/advisor.py,3840,,sí,,,,,,
/api/asesor/digest/prefs,PATCH,backend/routes/advisor.py,3849,,sí,,,,,,
/api/asesor/leaderboard,GET,backend/routes/advisor.py,3865,,sí,,,,,,
/api/asesor/perfil-publico/{slug},GET,backend/routes/advisor.py,3873,,sí,,,,,,
/api/asesor/_seed-demo,POST,backend/routes/advisor.py,3894,,sí,,,,,,
/api/asesor/contactos/bulk,POST,backend/routes/advisor.py,4017,,sí,,,,,,
/api/asesor/contactos/{cid}/pin,POST,backend/routes/advisor.py,4077,,sí,,,,,,
/api/asesor/dashboard/widgets-config,GET,backend/routes/advisor.py,4095,,sí,,,,,,
/api/asesor/dashboard/widgets-config,PATCH,backend/routes/advisor.py,4107,,sí,,,,,,
/api/asesor/recent,POST,backend/routes/advisor.py,4146,,sí,,,,,,
/api/asesor/recent,GET,backend/routes/advisor.py,4164,,sí,,,,,,
/api/asesor/leads/{lead_id},GET,backend/routes/advisor.py,4195,,sí,,,,,,
/api/asesor/leads/{lead_id},PATCH,backend/routes/advisor.py,4208,,sí,,,,,,
/api/asesor/leads/{lead_id}/watchlist,POST,backend/routes/advisor.py,4225,,sí,,,,,,
/api/asesor/mi-espejo,GET,backend/routes/advisor.py,4246,,sí,,,,,,
/api/asesor/whitelist/request,POST,backend/routes/advisor_whitelist.py,102,,sí,,,,,,
/api/asesor/whitelist/me,GET,backend/routes/advisor_whitelist.py,121,,sí,,,,,,
/api/asesor/whitelist/authorized-devs,GET,backend/routes/advisor_whitelist.py,130,,sí,,,,,,
/api/dev/whitelist/pending,GET,backend/routes/advisor_whitelist.py,142,,sí,,,,,,
/api/dev/whitelist/all,GET,backend/routes/advisor_whitelist.py,156,,sí,,,,,,
/api/dev/whitelist/{auth_id}/approve,POST,backend/routes/advisor_whitelist.py,172,,sí,,,,,,
/api/dev/whitelist/{auth_id}/reject,POST,backend/routes/advisor_whitelist.py,188,,sí,,,,,,
/api/dev/whitelist/{auth_id}/revoke,POST,backend/routes/advisor_whitelist.py,203,,sí,,,,,,
/api/dev/whitelist/bulk-approve,POST,backend/routes/advisor_whitelist.py,218,,sí,,,,,,
/api/dev/auto-approve-rule,GET,backend/routes/advisor_whitelist.py,238,,sí,,,,,,
/api/dev/auto-approve-rule,PUT,backend/routes/advisor_whitelist.py,249,,sí,,,,,,
/api/dev/auto-approve-rule/simulate,POST,backend/routes/advisor_whitelist.py,280,,sí,,,,,,
/api/agent-workforce/status,GET,backend/routes/agent_workforce.py,67,,sí,,,,,,
/api/agent-workforce/run-now,POST,backend/routes/agent_workforce.py,93,,sí,,,,,,
/api/agent-workforce/agents,GET,backend/routes/agent_workforce.py,107,,sí,,,,,,
/api/superadmin/agent-workforce/stats,GET,backend/routes/agent_workforce.py,131,,sí,,,,,,
/api/agentic-crm/routings,POST,backend/routes/agentic_crm.py,153,,sí,,,,,,
/api/agentic-crm/routings,GET,backend/routes/agentic_crm.py,183,,sí,,,,,,
/api/agentic-crm/routings/{routing_id}/accept,POST,backend/routes/agentic_crm.py,212,,sí,,,,,,
/api/agentic-crm/routings/{routing_id}/reject,POST,backend/routes/agentic_crm.py,231,,sí,,,,,,
/api/agentic-crm/routings/{routing_id}/reassign,POST,backend/routes/agentic_crm.py,252,,sí,,,,,,
/api/superadmin/agentic-crm/routings/metrics,GET,backend/routes/agentic_crm.py,276,,sí,,,,,,
/api/agentic-crm/visit-prep/generate,POST,backend/routes/agentic_crm.py,362,,sí,,,,,,
/api/agentic-crm/visit-prep/dossiers,GET,backend/routes/agentic_crm.py,405,,sí,,,,,,
/api/agentic-crm/visit-prep/dossiers/{dossier_id}/mark-viewed,POST,backend/routes/agentic_crm.py,436,,sí,,,,,,
/api/agentic-crm/webhooks/resend-inbound,POST,backend/routes/agentic_crm.py,497,,sí,,,,,,
/api/agentic-crm/replies,GET,backend/routes/agentic_crm.py,582,,sí,,,,,,
/api/agentic-crm/replies/{reply_id}/mark-action-taken,POST,backend/routes/agentic_crm.py,634,,sí,,,,,,
/api/agentic-crm/replies/{reply_id}/escalate,POST,backend/routes/agentic_crm.py,678,,sí,,,,,,
/api/agentic-crm/disc/{lead_id},GET,backend/routes/agentic_crm.py,802,,sí,,,,,,
/api/agentic-crm/disc/{lead_id}/refresh,POST,backend/routes/agentic_crm.py,834,,sí,,,,,,
/api/superadmin/agentic-crm/disc/distribution,GET,backend/routes/agentic_crm.py,869,,sí,,,,,,
/api/agentic-crm/nurture/sequences,GET,backend/routes/agentic_crm.py,924,,sí,,,,,,
/api/agentic-crm/nurture/sequences/{lead_id}/dry-run,POST,backend/routes/agentic_crm.py,958,,sí,,,,,,
/api/agentic-crm/nurture/sequences/{lead_id}/pause,POST,backend/routes/agentic_crm.py,993,,sí,,,,,,
/api/agentic-crm/nurture/sequences/{lead_id}/resume,POST,backend/routes/agentic_crm.py,1012,,sí,,,,,,
/api/superadmin/agentic-crm/nurture/toggle,POST,backend/routes/agentic_crm.py,1031,,sí,,,,,,
/api/superadmin/agentic-crm/nurture/stats,GET,backend/routes/agentic_crm.py,1066,,sí,,,,,,
/api/agentic-crm/match-weights,GET,backend/routes/agentic_crm.py,1157,,sí,,,,,,
/api/agentic-crm/match-weights,PATCH,backend/routes/agentic_crm.py,1174,,sí,,,,,,
/api/agentic-crm/match-weights/auto-tune,POST,backend/routes/agentic_crm.py,1201,,sí,,,,,,
/api/superadmin/agentic-crm/match-weights/distribution,GET,backend/routes/agentic_crm.py,1219,,sí,,,,,,
/api/agentic-crm/casamentera/{lead_id},GET,backend/routes/agentic_crm.py,1246,,sí,,,,,,
/api/agentic-crm/argumentario/{lead_id},GET,backend/routes/agentic_crm.py,1293,,sí,,,,,,
