ruta,metodo,archivo,linea
/api/avm/fsd/{property_id},GET,backend/routes/accuracy.py,64
/api/accuracy/meta-dashboard,GET,backend/routes/accuracy.py,91
/api/accuracy/export.csv,GET,backend/routes/accuracy.py,254
/api/accuracy/export.pdf,GET,backend/routes/accuracy.py,297
/api/asesor/perfil-publico/{slug},GET,backend/routes/advisor.py,3873
/api/superadmin/agentic-crm/routings/metrics,GET,backend/routes/agentic_crm.py,276
/api/agentic-crm/visit-prep/dossiers/{dossier_id}/mark-viewed,POST,backend/routes/agentic_crm.py,436
/api/agentic-crm/webhooks/resend-inbound,POST,backend/routes/agentic_crm.py,497
/api/agentic-crm/replies/{reply_id}/escalate,POST,backend/routes/agentic_crm.py,678
/api/superadmin/agentic-crm/nurture/stats,GET,backend/routes/agentic_crm.py,1066
/api/agentic-crm/casamentera/{lead_id},GET,backend/routes/agentic_crm.py,1246
/api/agentic-crm/argumentario/{lead_id}/mark-used,POST,backend/routes/agentic_crm.py,1351
/api/asesor/calendar/webhook/callback,POST,backend/routes/asesor_daily_tools.py,76
/api/public/endorsements,POST,backend/routes/asesor_identity.py,87
/api/public/endorsements/confirm/{token},GET,backend/routes/asesor_identity.py,115
/api/public/asesor/{asesor_id}/contact,POST,backend/routes/asesor_identity.py,232
/api/public/asesor/{asesor_id}/trust-score,GET,backend/routes/asesor_identity.py,275
/api/asesor-identity/by-slug/{slug},GET,backend/routes/asesor_identity.py,337
/api/asistente/sessions/{session_token},GET,backend/routes/asistente.py,99
/api/asistente/sessions,POST,backend/routes/asistente.py,133
/api/asistente/sessions/{session_token}/messages,POST,backend/routes/asistente.py,151
/api/asistente/sessions/{session_token}/capture-lead,POST,backend/routes/asistente.py,242
/api/auth/register,POST,backend/routes/auth.py,123
/api/auth/login,POST,backend/routes/auth.py,153
/api/auth/session,POST,backend/routes/auth.py,189
/api/auth/logout,POST,backend/routes/auth.py,262
/api/auth/comprador/magic-link/request,POST,backend/routes/auth.py,324
/api/auth/comprador/magic-link/verify,GET,backend/routes/auth.py,398
/api/auth/in-house/accept-invitation,POST,backend/routes/auth.py,471
/api/avm-public/quick,GET,backend/routes/avm_public.py,44
/api/avm-public/colonia/{slug},GET,backend/routes/avm_public.py,76
/api/avm-public/colonias/top,GET,backend/routes/avm_public.py,85
/api/avm-public/widget-config/{colonia_slug},GET,backend/routes/avm_public.py,92
/api/avm-public/landing/{colonia_slug},GET,backend/routes/avm_public.py,145
/api/leads/public,POST,backend/routes/b13.py,100
/api/tracking/view,POST,backend/routes/b13.py,441
/api/brochures/variants,GET,backend/routes/brochure.py,53
/api/brochures/files/{brochure_id}/pdf,GET,backend/routes/brochure.py,166
/api/brochures/files/{brochure_id}/social/{fmt},GET,backend/routes/brochure.py,182
/api/bulletins/{slug}/{period},GET,backend/routes/bulletins.py,45
/api/bulletins/{slug}/{period}/pdf,GET,backend/routes/bulletins.py,62
/api/public/methodology,GET,backend/routes/bulletins.py,78
/api/public/buy-signal/{dev_id},GET,backend/routes/buy_signal.py,121
/api/public/ownership/{dev_id},GET,backend/routes/buy_signal.py,241
/api/buyer-coach/start,POST,backend/routes/buyer_coach.py,61
