fuente,detalle,extra,conector_real,agendado,ultimo_dato_real,manejo_fallo,licencia,estado
#,Fuente,Tipo,,,,,,
1,NOAA,Clima global,,,,,,
2,CONAGUA,Clima MX,,,,,,
3,INEGI Censo,Demografía MX,,,,,,
4,INEGI AGEB,Granularidad manzana,,,,,,
5,INEGI ENIGH,Ingresos hogar,,,,,,
6,SCIAN,Actividad económica,,,,,,
7,SHF + Banxico,Banca + precios,,,,,,
8,DENUE,Puntos de interés,,,,,,
9,AirROI,Airbnb data nativa,,,,,,
10,Mapbox,Geo + heatmaps + tiles,,,,,,
11,OSM (OpenStreetMap),Polígonos + POIs,,,,,,
12,datos.cdmx.gob.mx,Open Data CDMX (CKAN),,,,,,
13,Catastro CDMX,Predios + valores,,,,,,
14,FGJ CDMX,Carpetas investigación (delitos),,,,,,
15,Atlas Riesgos CDMX,Riesgo sísmico/inundación,,,,,,
16,SACMEX,Agua,,,,,,
17,DGIS,Salud,,,,,,
18,GTFS CDMX,Transporte,,,,,,
19,Locatel 0311,Reportes ciudadanos,,,,,,
20,Reelly,Inventario Dubai,,,,,,
