frontend_archivo,linea,metodo,url,endpoint_existe,schema_ok,estado,auditado
frontend/src/App.js,458,GET,{var}/api/auth/me,,,,
frontend/src/App.js,500,POST,{var}/api/auth/logout,,,,
frontend/src/App.js,588,POST,{var}/api/auth/session,,,,
frontend/src/api/advisor_whitelist.js,28,POST,{var}/api/asesor/whitelist/request,,,,
frontend/src/api/advisor_whitelist.js,37,GET,{var}/api/asesor/whitelist/me,,,,
frontend/src/api/advisor_whitelist.js,44,GET,{var}/api/asesor/whitelist/authorized-devs,,,,
frontend/src/api/advisor_whitelist.js,53,GET,{var}/api/dev/whitelist/pending,,,,
frontend/src/api/advisor_whitelist.js,61,GET,{var}/api/dev/whitelist/all{var},,,,
frontend/src/api/advisor_whitelist.js,68,POST,{var}/api/dev/whitelist/{var}/approve,,,,
frontend/src/api/advisor_whitelist.js,77,POST,{var}/api/dev/whitelist/{var}/reject,,,,
frontend/src/api/advisor_whitelist.js,86,POST,{var}/api/dev/whitelist/{var}/revoke,,,,
frontend/src/api/advisor_whitelist.js,95,POST,{var}/api/dev/whitelist/bulk-approve,,,,
frontend/src/api/advisor_whitelist.js,105,PUT,{var}/api/dev/auto-approve-rule,,,,
frontend/src/api/advisor_whitelist.js,111,PUT,{var}/api/dev/auto-approve-rule,,,,
frontend/src/api/advisor_whitelist.js,119,POST,{var}/api/dev/auto-approve-rule/simulate,,,,
frontend/src/api/aiSuggestions.js,13,GET,{var}/api/ai/suggestions/{var}/{var}{var},,,,
frontend/src/api/aiSuggestions.js,21,POST,{var}/api/ai/suggestions/{var}/dismiss,,,,
frontend/src/api/aiSuggestions.js,31,POST,{var}/api/ai/suggestions/{var}/accept,,,,
frontend/src/api/asesor.js,18,POST,{var}/api/asesor/briefing/traffic,,,,
frontend/src/api/asesor.js,40,GET,{var}/api/asesor/briefing/traffic/recent?limit={var},,,,
frontend/src/api/asesor.js,51,POST,{var}/api/asesor/argumentario/query,,,,
frontend/src/api/asesor.js,69,GET,{var}/api/asesor/argumentario/recent?limit={var},,,,
frontend/src/api/asesor.js,81,GET,{var}/api/asesor/argumentario/kb?{var},,,,
frontend/src/api/asesor.js,91,GET,{var}/api/asesor/proyecto/{var}/playbook,,,,
frontend/src/api/asesor.js,98,GET,{var}/api/asesor/cube-actions,,,,
frontend/src/api/asesor.js,103,POST,{var}/api/asesor/cube-actions/{var}/estado,,,,
frontend/src/api/asesor_daily.js,10,POST,{var}/api/asesor/calendar/webhook/subscribe,,,,
frontend/src/api/asesor_daily.js,18,DELETE,{var}/api/asesor/calendar/webhook/subscribe,,,,
frontend/src/api/asesor_daily.js,26,GET,{var}/api/asesor/calendar/sync-status,,,,
frontend/src/api/asesor_daily.js,34,POST,{var}/api/asesor/calendar/sync-now,,,,
