engine,importado_por_n,importado_por,expuesto_en_endpoint,agendado_en_cron,estado_preliminar,auditado
backend/ab_testing_engine.py,3,backend/conversation_ab_testing.py;backend/feature_gate_engine.py;backend/routes/feature_visibility.py,backend/routes/feature_visibility.py,no,ACTIVO,
backend/absorcion_engine.py,5,backend/demand_intelligence.py;backend/estudio_mercado_engine.py;backend/routes/estudio_mercado.py;backend/routes/public.py;backend/terminal_celda.py,backend/routes/estudio_mercado.py;backend/routes/public.py,no,ACTIVO,
backend/accuracy_cron.py,1,backend/server.py,backend/server.py,no,ACTIVO,
backend/accuracy_engine.py,7,backend/accuracy_cron.py;backend/drift_detector.py;backend/engines_batch_valuacion.py;backend/live_pulse_engine.py;backend/routes/accuracy.py;backend/routes/dev_batch4_2.py,backend/routes/accuracy.py;backend/routes/dev_batch4_2.py;backend/server.py,backend/accuracy_cron.py,ACTIVO,
backend/agent_workforce/__init__.py,0,,no,no,HUÉRFANO?,
backend/agent_workforce/agent_common.py,3,backend/asistente_engine.py;backend/routes/agent_workforce.py;backend/tests/test_agent_workforce.py,backend/routes/agent_workforce.py,no,ACTIVO,
backend/agent_workforce/analyst.py,1,backend/tests/test_agent_closer_analyst.py,no,no,IMPORTADO,
backend/agent_workforce/closer.py,1,backend/tests/test_agent_closer_analyst.py,no,no,IMPORTADO,
backend/agent_workforce/coach.py,4,backend/cerebro_mercado_engine.py;backend/cerebro_redteam_test.py;backend/dmx_self_improving.py;backend/tests/test_agent_coach.py,no,no,IMPORTADO,
backend/agent_workforce/nurturer.py,1,backend/tests/test_agent_workforce.py,no,no,IMPORTADO,
backend/agent_workforce/orchestrator.py,5,backend/asistente_engine.py;backend/routes/agent_workforce.py;backend/routes/cerebro.py;backend/server.py;backend/tests/test_agent_workforce.py,backend/routes/agent_workforce.py;backend/routes/cerebro.py;backend/server.py,no,ACTIVO,
backend/agent_workforce/prospector.py,1,backend/tests/test_agent_workforce.py,no,no,IMPORTADO,
backend/ai_quota_engine.py,3,backend/ai_budget.py;backend/routes/superadmin_ai_cost.py;backend/server.py,backend/routes/superadmin_ai_cost.py;backend/server.py,no,ACTIVO,
backend/amenidades_engine.py,4,backend/engines_hub.py;backend/estudio_mercado_engine.py;backend/generador_producto_engine.py;backend/routes/estudio_mercado.py,backend/routes/estudio_mercado.py,no,ACTIVO,
backend/anomaly_detection_engine.py,4,backend/routes/superadmin_founder_console.py;backend/scheduler_ie.py;backend/server.py;backend/tests/wave2/test_anomaly_detection_engine_unit.py,backend/routes/superadmin_founder_console.py;backend/server.py,backend/scheduler_ie.py,ACTIVO,
backend/anonymization_engine.py,9,backend/grafo_comprador_engine.py;backend/routes/buyer_signals.py;backend/routes/copiloto_flywheel.py;backend/routes/drpi.py;backend/routes/public_api_v1.py;backend/routes/risk_score.py,backend/routes/buyer_signals.py;backend/routes/copiloto_flywheel.py;backend/routes/drpi.py,no,ACTIVO,
backend/apify_trends_engine.py,6,backend/asistente_engine.py;backend/routes/trends.py;backend/scheduler_ie.py;backend/server.py;backend/tests/test_apify_trends.py;backend/zone_subscores_compute.py,backend/routes/trends.py;backend/server.py,backend/scheduler_ie.py,ACTIVO,
backend/asesor_digest_engine.py,3,backend/routes/advisor.py;backend/server.py;backend/tests/test_asesor_digest.py,backend/routes/advisor.py;backend/server.py,no,ACTIVO,
backend/asistente_engine.py,11,backend/atlax_engine.py;backend/routes/asistente.py;backend/routes/studio_landing.py;backend/routes/whatsapp_copiloto.py;backend/scheduler_ie.py;backend/server.py,backend/routes/asistente.py;backend/routes/studio_landing.py;backend/routes/whatsapp_copiloto.py,backend/scheduler_ie.py,ACTIVO,
backend/atlax_engine.py,2,backend/server.py;backend/tests/wave4/test_atlax_engine_unit.py,router propio,no,ACTIVO,
backend/atlax_persona_engine.py,4,backend/asistente_engine.py;backend/routes/atlax_persona.py;backend/server.py;backend/tests/wave4/test_atlax_persona_engine_unit.py,backend/routes/atlax_persona.py;backend/server.py,no,ACTIVO,
backend/audit_immutable_engine.py,75,backend/ab_testing_engine.py;backend/accuracy_cron.py;backend/adapters/tts/elevenlabs.py;backend/agent_workforce/orchestrator.py;backend/asesor_digest_engine.py;backend/asistente_engine.py,backend/routes/accuracy.py;backend/routes/battle_card.py;backend/routes/construction_quality.py,backend/accuracy_cron.py;backend/battle_card_cron.py;backend/churn_prediction_cron.py,ACTIVO,
backend/auto_nurture_cron.py,1,backend/server.py,backend/server.py,no,ACTIVO,
backend/auto_pilot_engine.py,3,backend/routes/auto_pilot.py;backend/server.py;backend/tests/test_auto_pilot.py,backend/routes/auto_pilot.py;backend/server.py,no,ACTIVO,
backend/auto_sync_engine.py,6,backend/cross_check_engine.py;backend/extraction_engine.py;backend/routes/advisor.py;backend/routes/documents.py;backend/server.py;backend/services/mini_market_engine.py,backend/routes/advisor.py;backend/routes/documents.py;backend/server.py,no,ACTIVO,
backend/avm_explain_engine.py,2,backend/avm_public_engine.py;backend/engines_batch_valuacion.py,no,no,IMPORTADO,
backend/avm_feature_engine.py,3,backend/avm_public_engine.py;backend/captacion_value_engine.py;backend/engines_batch_valuacion.py,no,no,IMPORTADO,
backend/avm_predios_engine.py,1,scripts/seed_avm_predios.py,no,no,IMPORTADO,
backend/avm_public_engine.py,18,backend/asistente_engine.py;backend/battle_card_engine.py;backend/cerebro/executors.py;backend/cma_engine.py;backend/demand_intelligence.py;backend/engines_batch_valuacion.py,backend/routes/advisor.py;backend/routes/avm_public.py;backend/routes/dev_batch11.py,no,ACTIVO,
backend/avm_retrain_cron.py,4,backend/cerebro/coach.py;backend/drift_detector.py;backend/routes/avm_accuracy.py;backend/server.py,backend/routes/avm_accuracy.py;backend/server.py,no,ACTIVO,
backend/bancabilidad_engine.py,4,backend/engines_hub.py;backend/routes/developer.py;backend/routes/public_api_v1.py;backend/routes/terminal_mercado.py,backend/routes/developer.py;backend/routes/public_api_v1.py;backend/routes/terminal_mercado.py,no,ACTIVO,
backend/battle_card_cron.py,1,backend/server.py,backend/server.py,no,ACTIVO,
backend/battle_card_engine.py,6,backend/asistente_engine.py;backend/battle_card_cron.py;backend/demand_intelligence.py;backend/engines_batch_inversion.py;backend/routes/battle_card.py;backend/server.py,backend/routes/battle_card.py;backend/server.py,backend/battle_card_cron.py,ACTIVO,
backend/behavioral_tracking_engine.py,6,backend/asistente_engine.py;backend/engines_batch_demanda.py;backend/routes/asistente.py;backend/routes/behavioral.py;backend/server.py;backend/sub_agents/pricing_agent.py,backend/routes/asistente.py;backend/routes/behavioral.py;backend/server.py,no,ACTIVO,
backend/briefing_engine.py,1,backend/server.py,router propio,no,ACTIVO,
backend/brochure_engine.py,3,backend/routes/brochure.py;backend/server.py;backend/tests/wave4/test_brochure_engine_unit.py,backend/routes/brochure.py;backend/server.py,no,ACTIVO,
backend/bulk_ingest_engine.py,3,backend/routes/bulk_ingest.py;backend/server.py;backend/tests/wave1/test_bulk_ingest_engine_unit.py,backend/routes/bulk_ingest.py;backend/server.py,no,ACTIVO,
backend/bulletins_engine.py,4,backend/routes/bulletins.py;backend/scheduler_ie.py;backend/server.py;backend/tests/wave3/test_bulletins_engine_unit.py,backend/routes/bulletins.py;backend/server.py,backend/scheduler_ie.py,ACTIVO,
backend/buyer_coach_engine.py,4,backend/asistente_engine.py;backend/routes/buyer_coach.py;backend/server.py;backend/tests/wave4/test_buyer_coach_engine_unit.py,backend/routes/buyer_coach.py;backend/server.py,no,ACTIVO,
backend/buyer_score_cron.py,2,backend/routes/buyer_score.py;backend/server.py,backend/routes/buyer_score.py;backend/server.py,no,ACTIVO,
backend/buyer_score_engine.py,12,backend/agent_workforce/prospector.py;backend/asistente_engine.py;backend/buyer_coach_engine.py;backend/buyer_score_cron.py;backend/cerebro/executors.py;backend/conversation_disc_adapter.py,backend/server.py,backend/buyer_score_cron.py,ACTIVO,
backend/captacion_value_engine.py,2,backend/engines_batch_demanda.py;backend/routes/advisor.py,backend/routes/advisor.py,no,ACTIVO,
backend/catastro_sig_engine.py,3,backend/engines_hub.py;backend/routes/public.py;scripts/seed_far_predios.py,backend/routes/public.py,no,ACTIVO,
backend/cerebro/__init__.py,0,,no,no,HUÉRFANO?,
backend/cerebro/coach.py,4,backend/cerebro_mercado_engine.py;backend/cerebro_redteam_test.py;backend/dmx_self_improving.py;backend/tests/test_agent_coach.py,no,no,IMPORTADO,
backend/cerebro/config.py,2,backend/cerebro_redteam_test.py;backend/studio_carrusel_engine.py,no,no,IMPORTADO,
backend/cerebro/contract.py,2,backend/dmx_cerebro_market.py;backend/routes/cerebro.py,backend/routes/cerebro.py,no,ACTIVO,
backend/cerebro/executors.py,2,backend/cerebro_redteam_test.py;backend/routes/advisor.py,backend/routes/advisor.py,no,ACTIVO,
backend/cerebro/guardrails.py,1,backend/routes/cerebro.py,backend/routes/cerebro.py,no,ACTIVO,
backend/cerebro/lookalike.py,2,backend/memorandum.py;backend/routes/superadmin_demand_intel.py,backend/routes/superadmin_demand_intel.py,no,ACTIVO,
backend/cerebro/memory.py,2,backend/audit_immutable_engine.py;backend/lead_enrichment_engine.py,no,no,IMPORTADO,
backend/cerebro/orchestrator.py,5,backend/asistente_engine.py;backend/routes/agent_workforce.py;backend/routes/cerebro.py;backend/server.py;backend/tests/test_agent_workforce.py,backend/routes/agent_workforce.py;backend/routes/cerebro.py;backend/server.py,no,ACTIVO,
backend/cerebro/recommendations.py,1,backend/server.py,backend/server.py,no,ACTIVO,
backend/cerebro/store.py,2,backend/cerebro/orchestrator.py;backend/dmx_cerebro_market.py,no,no,IMPORTADO,
