codigo,categoria,dimension,fuente_input_doc,nivel,engine_existe,formula_coincide,fuente_real_vs_sintetica,persistencia,endpoint_ui,tests,estado,nota
IE_COL_PRECIO,Scores de COLONIA (40),Precio promedio m² vs ciudad,datos.cdmx + DMX listings,N2,,,,,,,,
IE_COL_PLUSVALIA_HIST,Scores de COLONIA (40),Plusvalía 12m / 24m / 60m,datos.cdmx + INEGI,N1,,,,,,,,
IE_COL_PLUSVALIA_PROYECTADA,Scores de COLONIA (40),Plusvalía 5 años predictive,regression sobre plusvalía hist + INEGI demografía,N4,,,,,,,,
IE_COL_LIQUIDEZ,Scores de COLONIA (40),Días promedio venta,DMX operations history,N1,,,,,,,,
IE_COL_DEMANDA_NETA,Scores de COLONIA (40),Búsquedas vs supply,DMX search logs,N2,,,,,,,,
IE_COL_CLIMA_INUNDACION,Scores de COLONIA (40),Riesgo inundación,Atlas Riesgos CDMX + CONAGUA,N2,,,,,,,,
IE_COL_CLIMA_SISMO,Scores de COLONIA (40),Riesgo sísmico,Atlas Riesgos CDMX + INEGI tipo suelo,N2,,,,,,,,
IE_COL_CLIMA_ISLA_CALOR,Scores de COLONIA (40),Calor urbano,NOAA + CONAGUA temp anómala,N2,,,,,,,,
IE_COL_AIRE,Scores de COLONIA (40),Calidad aire histórica,datos.cdmx (SEDEMA estaciones),N1,,,,,,,,
IE_COL_TWIN_MATCH,Scores de COLONIA (40),Climate twin (similitud climática),NOAA + CONAGUA cosine similarity,N3,,,,,,,,
IE_COL_SEGURIDAD,Scores de COLONIA (40),Delitos por 100k habitantes,FGJ CDMX carpetas investigación,N1,,,,,,,,
IE_COL_SEGURIDAD_TENDENCIA,Scores de COLONIA (40),Tendencia 12m delitos,FGJ histórico,N4,,,,,,,,
IE_COL_LOCATEL,Scores de COLONIA (40),Reportes ciudadanos urgencias,Locatel 0311 (STUB),N1,,,,,,,,
IE_COL_CONECTIVIDAD_TRANSPORTE,Scores de COLONIA (40),Distancia metro / metrobús / EcoBici,GTFS CDMX (STUB),N2,,,,,,,,
IE_COL_CONECTIVIDAD_FIBRA,Scores de COLONIA (40),Fibra óptica disponible,datos.cdmx telecom + IFT,N1,,,,,,,,
IE_COL_CONECTIVIDAD_VIALIDAD,Scores de COLONIA (40),Acceso vialidades primarias,OSM + INEGI,N1,,,,,,,,
IE_COL_EDUCACION,Scores de COLONIA (40),Escuelas radio 1-3km,INEGI DENUE educación,N1,,,,,,,,
IE_COL_EDUCACION_CALIDAD,Scores de COLONIA (40),Calidad escolar (proxy SEP/PISA),datos.gob.mx SEP,N2,,,,,,,,
IE_COL_SALUD,Scores de COLONIA (40),Hospitales / clínicas radio 5km,DGIS (STUB) + DENUE salud,N1,,,,,,,,
IE_COL_AGUA_CONFIABILIDAD,Scores de COLONIA (40),Cortes agua frecuencia,SACMEX (STUB),N1,,,,,,,,
IE_COL_CULTURAL_PARQUES,Scores de COLONIA (40),Parques + áreas verdes m²/habitante,OSM + INEGI,N1,,,,,,,,
IE_COL_CULTURAL_VIDA_NOCTURNA,Scores de COLONIA (40),Bares / restaurantes / vida nocturna,DENUE,N1,,,,,,,,
IE_COL_CULTURAL_MUSEOS,Scores de COLONIA (40),Museos / centros culturales,DENUE + datos.cdmx,N1,,,,,,,,
IE_COL_DEMOGRAFIA_FAMILIA,Scores de COLONIA (40),% familias con hijos,INEGI Censo + AGEB,N1,,,,,,,,
IE_COL_DEMOGRAFIA_JOVEN,Scores de COLONIA (40),% población 25-40,INEGI Censo,N1,,,,,,,,
IE_COL_DEMOGRAFIA_INGRESO,Scores de COLONIA (40),Ingreso promedio hogar,INEGI ENIGH,N1,,,,,,,,
IE_COL_DEMOGRAFIA_EDUCACION,Scores de COLONIA (40),% con licenciatura+,INEGI Censo,N1,,,,,,,,
IE_COL_DEMOGRAFIA_ESTABILIDAD,Scores de COLONIA (40),Antigüedad promedio residentes,INEGI Censo,N2,,,,,,,,
IE_COL_ROI_RENTA_TRADICIONAL,Scores de COLONIA (40),ROI renta anual %,DMX listings + AirROI,N2,,,,,,,,
IE_COL_ROI_AIRBNB,Scores de COLONIA (40),ROI Airbnb anual %,AirROI markets,N2,,,,,,,,
IE_COL_ROI_AIRBNB_OCUPACION,Scores de COLONIA (40),Ocupación Airbnb %,AirROI,N1,,,,,,,,
IE_COL_DESARROLLOS_ACTIVOS,Scores de COLONIA (40),Cantidad proyectos en preventa,DMX inventory,N1,,,,,,,,
IE_COL_USO_SUELO_HABITACIONAL,Scores de COLONIA (40),% uso habitacional,datos.cdmx SEDUVI,N1,,,,,,,,
IE_COL_USO_SUELO_MIXTO,Scores de COLONIA (40),% uso mixto (hab + comercio),datos.cdmx SEDUVI,N1,,,,,,,,
IE_COL_GENTRIFICACION_INDEX,Scores de COLONIA (40),Tendencia precio vs ingresos,INEGI + DMX,N4,,,,,,,,
IE_COL_GHOST_ZONE,Scores de COLONIA (40),Zona en pausa (vacancia alta),DMX listings + INEGI,N2,,,,,,,,
IE_COL_PMF_GAP,Scores de COLONIA (40),Gap demanda no atendida,DMX search vs inventory,N2,,,,,,,,
IE_COL_INFRA_PLANEADA,Scores de COLONIA (40),Obras gobierno 5 años,datos.cdmx infraestructura + Atlas,N4,,,,,,,,
