Estado,Alcaldia,Trimestre,Anio,Indice
Ciudad de México,CDMX (estatal),1,2005,33.81
Ciudad de México,Gustavo A. Madero,1,2005,34.33
Ciudad de México,Iztapalapa,1,2005,35.49
Ciudad de México,Benito Juárez,1,2005,33.14
Ciudad de México,Cuauhtémoc,1,2005,32.76
Ciudad de México,Miguel Hidalgo,1,2005,32.59
Ciudad de México,CDMX (estatal),2,2005,35.37
Ciudad de México,Gustavo A. Madero,2,2005,35.8
Ciudad de México,Iztapalapa,2,2005,36.93
Ciudad de México,Benito Juárez,2,2005,34.77
Ciudad de México,Cuauhtémoc,2,2005,34.35
Ciudad de México,Miguel Hidalgo,2,2005,34.34
Ciudad de México,CDMX (estatal),3,2005,36.78
Ciudad de México,Gustavo A. Madero,3,2005,37.21
Ciudad de México,Iztapalapa,3,2005,38.3
Ciudad de México,Benito Juárez,3,2005,36.17
Ciudad de México,Cuauhtémoc,3,2005,35.62
Ciudad de México,Miguel Hidalgo,3,2005,35.68
Ciudad de México,CDMX (estatal),4,2005,36.62
Ciudad de México,Gustavo A. Madero,4,2005,37.1
Ciudad de México,Iztapalapa,4,2005,38.38
Ciudad de México,Benito Juárez,4,2005,36
Ciudad de México,Cuauhtémoc,4,2005,35.62
Ciudad de México,Miguel Hidalgo,4,2005,35.42
Ciudad de México,CDMX (estatal),1,2006,37.68
Ciudad de México,Gustavo A. Madero,1,2006,38.21
Ciudad de México,Iztapalapa,1,2006,39.54
Ciudad de México,Benito Juárez,1,2006,37.05
Ciudad de México,Cuauhtémoc,1,2006,36.68
Ciudad de México,Miguel Hidalgo,1,2006,36.39
Ciudad de México,CDMX (estatal),2,2006,38.74
Ciudad de México,Gustavo A. Madero,2,2006,39.18
Ciudad de México,Iztapalapa,2,2006,40.61
Ciudad de México,Benito Juárez,2,2006,38.13
Ciudad de México,Cuauhtémoc,2,2006,37.7
Ciudad de México,Miguel Hidalgo,2,2006,37.4
Ciudad de México,CDMX (estatal),3,2006,39.37
Ciudad de México,Gustavo A. Madero,3,2006,39.75
Ciudad de México,Iztapalapa,3,2006,41.37
Ciudad de México,Benito Juárez,3,2006,38.8
Ciudad de México,Cuauhtémoc,3,2006,38.39
Ciudad de México,Miguel Hidalgo,3,2006,38.02
Ciudad de México,CDMX (estatal),4,2006,39.95
Ciudad de México,Gustavo A. Madero,4,2006,40.23
Ciudad de México,Iztapalapa,4,2006,41.91
Ciudad de México,Benito Juárez,4,2006,39.43
Ciudad de México,Cuauhtémoc,4,2006,38.92
Ciudad de México,Miguel Hidalgo,4,2006,38.64
Ciudad de México,CDMX (estatal),1,2007,41.46
Ciudad de México,Gustavo A. Madero,1,2007,41.71
Ciudad de México,Iztapalapa,1,2007,43.46
Ciudad de México,Benito Juárez,1,2007,40.94
Ciudad de México,Cuauhtémoc,1,2007,40.33
Ciudad de México,Miguel Hidalgo,1,2007,40.14
Ciudad de México,CDMX (estatal),2,2007,43.29
Ciudad de México,Gustavo A. Madero,2,2007,43.48
Ciudad de México,Iztapalapa,2,2007,45.26
Ciudad de México,Benito Juárez,2,2007,42.79
Ciudad de México,Cuauhtémoc,2,2007,42.13
Ciudad de México,Miguel Hidalgo,2,2007,41.92
Ciudad de México,CDMX (estatal),3,2007,44.61
Ciudad de México,Gustavo A. Madero,3,2007,44.65
Ciudad de México,Iztapalapa,3,2007,46.22
Ciudad de México,Benito Juárez,3,2007,44.17
Ciudad de México,Cuauhtémoc,3,2007,43.32
Ciudad de México,Miguel Hidalgo,3,2007,43.25
Ciudad de México,CDMX (estatal),4,2007,44.8
Ciudad de México,Gustavo A. Madero,4,2007,44.71
Ciudad de México,Iztapalapa,4,2007,46.06
Ciudad de México,Benito Juárez,4,2007,44.45
Ciudad de México,Cuauhtémoc,4,2007,43.57
