canonical_url,query_text,colonia,tipo,recamaras_min,precio_max,stage,tier,score_realism,score_intent,score_volume,score_differentiation,score_total,founder_decision
/marketplace?colonia=polanco&recamaras_min=2&stage=preventa,Departamentos 2 recámaras en Polanco preventa,polanco,,2,,preventa,1,25,28,25,15,93,
/marketplace?colonia=lomas-chapultepec&recamaras_min=2&stage=preventa,Departamentos 2 recámaras en Lomas de Chapultepec preventa,lomas-chapultepec,,2,,preventa,1,25,28,25,15,93,
/marketplace?colonia=pedregal&recamaras_min=2&stage=preventa,Departamentos 2 recámaras en Jardines del Pedregal preventa,pedregal,,2,,preventa,1,25,28,25,15,93,
/marketplace?colonia=polanco&recamaras_min=3&stage=preventa,Departamentos 3 recámaras en Polanco preventa,polanco,,3,,preventa,1,25,28,23,15,91,
/marketplace?colonia=lomas-chapultepec&recamaras_min=3&stage=preventa,Departamentos 3 recámaras en Lomas de Chapultepec preventa,lomas-chapultepec,,3,,preventa,1,25,28,23,15,91,
/marketplace?colonia=pedregal&recamaras_min=3&stage=preventa,Departamentos 3 recámaras en Jardines del Pedregal preventa,pedregal,,3,,preventa,1,25,28,23,15,91,
/marketplace?colonia=roma-norte&recamaras_min=2&stage=preventa,Departamentos 2 recámaras en Roma Norte preventa,roma-norte,,2,,preventa,2,25,28,21,15,89,
/marketplace?colonia=condesa&recamaras_min=2&stage=preventa,Departamentos 2 recámaras en Condesa preventa,condesa,,2,,preventa,2,25,28,21,15,89,
/marketplace?colonia=coyoacan-centro&recamaras_min=2&stage=preventa,Departamentos 2 recámaras en Coyoacán Centro preventa,coyoacan-centro,,2,,preventa,2,25,28,21,15,89,
/marketplace?colonia=santa-fe&recamaras_min=2&stage=preventa,Departamentos 2 recámaras en Santa Fe preventa,santa-fe,,2,,preventa,2,25,28,21,15,89,
/marketplace?colonia=napoles&recamaras_min=2&stage=preventa,Departamentos 2 recámaras en Nápoles preventa,napoles,,2,,preventa,2,25,28,21,15,89,
/marketplace?colonia=polanco&recamaras_min=4&stage=preventa,Departamentos 4 recámaras en Polanco preventa,polanco,,4,,preventa,1,25,28,19,15,87,
/marketplace?colonia=lomas-chapultepec&recamaras_min=4&stage=preventa,Departamentos 4 recámaras en Lomas de Chapultepec preventa,lomas-chapultepec,,4,,preventa,1,25,28,19,15,87,
/marketplace?colonia=pedregal&recamaras_min=4&stage=preventa,Departamentos 4 recámaras en Jardines del Pedregal preventa,pedregal,,4,,preventa,1,25,28,19,15,87,
/marketplace?colonia=roma-norte&recamaras_min=3&stage=preventa,Departamentos 3 recámaras en Roma Norte preventa,roma-norte,,3,,preventa,2,25,28,19,15,87,
/marketplace?colonia=condesa&recamaras_min=3&stage=preventa,Departamentos 3 recámaras en Condesa preventa,condesa,,3,,preventa,2,25,28,19,15,87,
/marketplace?colonia=coyoacan-centro&recamaras_min=3&stage=preventa,Departamentos 3 recámaras en Coyoacán Centro preventa,coyoacan-centro,,3,,preventa,2,25,28,19,15,87,
/marketplace?colonia=santa-fe&recamaras_min=3&stage=preventa,Departamentos 3 recámaras en Santa Fe preventa,santa-fe,,3,,preventa,2,25,28,19,15,87,
/marketplace?colonia=napoles&recamaras_min=3&stage=preventa,Departamentos 3 recámaras en Nápoles preventa,napoles,,3,,preventa,2,25,28,19,15,87,
/marketplace?colonia=polanco&precio_max=8000000&recamaras_min=2,Departamentos 2 recámaras en Polanco hasta $8M,polanco,,2,8000000,,1,25,30,25,5,85,
/marketplace?colonia=polanco&precio_max=12000000&recamaras_min=2,Departamentos 2 recámaras en Polanco hasta $12M,polanco,,2,12000000,,1,25,30,25,5,85,
/marketplace?colonia=polanco&precio_max=15000000&recamaras_min=2,Departamentos 2 recámaras en Polanco hasta $15M,polanco,,2,15000000,,1,25,30,25,5,85,
/marketplace?colonia=polanco&precio_max=20000000&recamaras_min=2,Departamentos 2 recámaras en Polanco hasta $20M,polanco,,2,20000000,,1,25,30,25,5,85,
/marketplace?colonia=polanco&precio_max=30000000&recamaras_min=2,Departamentos 2 recámaras en Polanco hasta $30M,polanco,,2,30000000,,1,25,30,25,5,85,
/marketplace?colonia=lomas-chapultepec&precio_max=12000000&recamaras_min=2,Departamentos 2 recámaras en Lomas de Chapultepec hasta $12M,lomas-chapultepec,,2,12000000,,1,25,30,25,5,85,
/marketplace?colonia=lomas-chapultepec&precio_max=15000000&recamaras_min=2,Departamentos 2 recámaras en Lomas de Chapultepec hasta $15M,lomas-chapultepec,,2,15000000,,1,25,30,25,5,85,
/marketplace?colonia=lomas-chapultepec&precio_max=20000000&recamaras_min=2,Departamentos 2 recámaras en Lomas de Chapultepec hasta $20M,lomas-chapultepec,,2,20000000,,1,25,30,25,5,85,
/marketplace?colonia=lomas-chapultepec&precio_max=30000000&recamaras_min=2,Departamentos 2 recámaras en Lomas de Chapultepec hasta $30M,lomas-chapultepec,,2,30000000,,1,25,30,25,5,85,
/marketplace?colonia=pedregal&precio_max=15000000&recamaras_min=2,Departamentos 2 recámaras en Jardines del Pedregal hasta $15M,pedregal,,2,15000000,,1,25,30,25,5,85,
/marketplace?colonia=pedregal&precio_max=20000000&recamaras_min=2,Departamentos 2 recámaras en Jardines del Pedregal hasta $20M,pedregal,,2,20000000,,1,25,30,25,5,85,
/marketplace?colonia=pedregal&precio_max=30000000&recamaras_min=2,Departamentos 2 recámaras en Jardines del Pedregal hasta $30M,pedregal,,2,30000000,,1,25,30,25,5,85,
/marketplace?colonia=polanco&precio_max=8000000&recamaras_min=2&tipo=depto,Departamentos 2 recámaras en Polanco hasta $8M,polanco,depto,2,8000000,,1,25,30,25,5,85,
/marketplace?colonia=polanco&precio_max=12000000&recamaras_min=2&tipo=depto,Departamentos 2 recámaras en Polanco hasta $12M,polanco,depto,2,12000000,,1,25,30,25,5,85,
/marketplace?colonia=polanco&precio_max=15000000&recamaras_min=2&tipo=depto,Departamentos 2 recámaras en Polanco hasta $15M,polanco,depto,2,15000000,,1,25,30,25,5,85,
/marketplace?colonia=polanco&precio_max=20000000&recamaras_min=2&tipo=depto,Departamentos 2 recámaras en Polanco hasta $20M,polanco,depto,2,20000000,,1,25,30,25,5,85,
/marketplace?colonia=polanco&precio_max=30000000&recamaras_min=2&tipo=depto,Departamentos 2 recámaras en Polanco hasta $30M,polanco,depto,2,30000000,,1,25,30,25,5,85,
/marketplace?colonia=lomas-chapultepec&precio_max=12000000&recamaras_min=2&tipo=depto,Departamentos 2 recámaras en Lomas de Chapultepec hasta $12M,lomas-chapultepec,depto,2,12000000,,1,25,30,25,5,85,
/marketplace?colonia=lomas-chapultepec&precio_max=15000000&recamaras_min=2&tipo=depto,Departamentos 2 recámaras en Lomas de Chapultepec hasta $15M,lomas-chapultepec,depto,2,15000000,,1,25,30,25,5,85,
/marketplace?colonia=lomas-chapultepec&precio_max=20000000&recamaras_min=2&tipo=depto,Departamentos 2 recámaras en Lomas de Chapultepec hasta $20M,lomas-chapultepec,depto,2,20000000,,1,25,30,25,5,85,
/marketplace?colonia=lomas-chapultepec&precio_max=30000000&recamaras_min=2&tipo=depto,Departamentos 2 recámaras en Lomas de Chapultepec hasta $30M,lomas-chapultepec,depto,2,30000000,,1,25,30,25,5,85,
/marketplace?colonia=lomas-chapultepec&precio_max=12000000&recamaras_min=2&tipo=casa,Casas 2 recámaras en Lomas de Chapultepec hasta $12M,lomas-chapultepec,casa,2,12000000,,1,25,30,25,5,85,
/marketplace?colonia=lomas-chapultepec&precio_max=15000000&recamaras_min=2&tipo=casa,Casas 2 recámaras en Lomas de Chapultepec hasta $15M,lomas-chapultepec,casa,2,15000000,,1,25,30,25,5,85,
/marketplace?colonia=lomas-chapultepec&precio_max=20000000&recamaras_min=2&tipo=casa,Casas 2 recámaras en Lomas de Chapultepec hasta $20M,lomas-chapultepec,casa,2,20000000,,1,25,30,25,5,85,
/marketplace?colonia=lomas-chapultepec&precio_max=30000000&recamaras_min=2&tipo=casa,Casas 2 recámaras en Lomas de Chapultepec hasta $30M,lomas-chapultepec,casa,2,30000000,,1,25,30,25,5,85,
/marketplace?colonia=pedregal&precio_max=15000000&recamaras_min=2&tipo=depto,Departamentos 2 recámaras en Jardines del Pedregal hasta $15M,pedregal,depto,2,15000000,,1,25,30,25,5,85,
/marketplace?colonia=pedregal&precio_max=20000000&recamaras_min=2&tipo=depto,Departamentos 2 recámaras en Jardines del Pedregal hasta $20M,pedregal,depto,2,20000000,,1,25,30,25,5,85,
/marketplace?colonia=pedregal&precio_max=30000000&recamaras_min=2&tipo=depto,Departamentos 2 recámaras en Jardines del Pedregal hasta $30M,pedregal,depto,2,30000000,,1,25,30,25,5,85,
/marketplace?colonia=pedregal&precio_max=15000000&recamaras_min=2&tipo=casa,Casas 2 recámaras en Jardines del Pedregal hasta $15M,pedregal,casa,2,15000000,,1,25,30,25,5,85,
/marketplace?colonia=pedregal&precio_max=20000000&recamaras_min=2&tipo=casa,Casas 2 recámaras en Jardines del Pedregal hasta $20M,pedregal,casa,2,20000000,,1,25,30,25,5,85,
/marketplace?colonia=pedregal&precio_max=30000000&recamaras_min=2&tipo=casa,Casas 2 recámaras en Jardines del Pedregal hasta $30M,pedregal,casa,2,30000000,,1,25,30,25,5,85,
